type,pos,headword,freq_tar,freq_ref,range_tar,range_ref,likelihood,effect
lmaooo,,,12374,0,713,0,176.771,0.0
currently,,,12374,0,722,0,176.771,0.0
emojis,,,12360,0,713,0,176.571,0.0
selfie,,,12344,0,688,0,176.343,0.0
kidding,,,12303,0,714,0,175.757,0.0
teach,,,12287,0,726,0,175.528,0.0
soo,,,12285,0,721,0,175.5,0.0
smol,,,12282,0,687,0,175.457,0.0
dot,,,12280,0,624,0,175.428,0.0
classes,,,12268,0,723,0,175.257,0.0
hiya,,,12265,0,683,0,175.214,0.0
doe,,,12258,0,708,0,175.114,0.0
lord,,,12258,0,720,0,175.114,0.0
forever,,,12253,0,724,0,175.043,0.0
corona,,,12232,0,571,0,174.743,0.0
girln,,,12229,0,705,0,174.7,0.0
looked,,,12219,0,723,0,174.557,0.0
switch,,,12211,0,724,0,174.443,0.0
alex,,,12210,0,663,0,174.428,0.0
felt,,,12196,0,725,0,174.228,0.0
turned,,,12194,0,723,0,174.2,0.0
worst,,,12170,0,724,0,173.857,0.0
totally,,,12170,0,726,0,173.857,0.0
arctic,,,12155,0,290,0,173.643,0.0
indian,,,12139,0,706,0,173.414,0.0
chris,,,12128,0,623,0,173.257,0.0
vibe,,,12110,0,691,0,173.0,0.0
wym,,,12095,0,709,0,172.785,0.0
xbox,,,12085,0,709,0,172.643,0.0
fell,,,12083,0,721,0,172.614,0.0
british,,,12080,0,717,0,172.571,0.0
dayn,,,12074,0,720,0,172.485,0.0
runaway,,,12069,0,158,0,172.414,0.0
relationship,,,12056,0,718,0,172.228,0.0
cafe,,,12045,0,562,0,172.071,0.0
depression,,,12037,0,713,0,171.957,0.0
air,,,12036,0,723,0,171.943,0.0
noh,,,12020,0,724,0,171.714,0.0
tonight,,,12012,0,719,0,171.6,0.0
definitely,,,11980,0,725,0,171.143,0.0
future,,,11979,0,724,0,171.128,0.0
mic,,,11960,0,718,0,170.857,0.0
cannot,,,11958,0,723,0,170.828,0.0
egg,,,11932,0,715,0,170.457,0.0
russian,,,11929,0,712,0,170.414,0.0
sky,,,11904,0,711,0,170.057,0.0
xp,,,11892,0,675,0,169.885,0.0
report,,,11890,0,715,0,169.857,0.0
possible,,,11877,0,721,0,169.671,0.0
correct,,,11872,0,726,0,169.6,0.0
trump,,,11853,0,684,0,169.328,0.0
rock,,,11851,0,722,0,169.3,0.0
skin,,,11844,0,715,0,169.2,0.0
depressed,,,11820,0,718,0,168.857,0.0
pinging,,,11812,0,715,0,168.743,0.0
sell,,,11802,0,720,0,168.6,0.0
history,,,11799,0,721,0,168.557,0.0
whenever,,,11778,0,725,0,168.257,0.0
cook,,,11764,0,720,0,168.057,0.0
running,,,11763,0,728,0,168.043,0.0
stuck,,,11763,0,726,0,168.043,0.0
sum,,,11747,0,718,0,167.814,0.0
order,,,11746,0,722,0,167.8,0.0
helper,,,11739,0,479,0,167.7,0.0
cares,,,11721,0,724,0,167.443,0.0
wown,,,11711,0,719,0,167.3,0.0
heyn,,,11711,0,718,0,167.3,0.0
entire,,,11664,0,721,0,166.628,0.0
ally,,,11658,0,471,0,166.542,0.0
clean,,,11640,0,723,0,166.285,0.0
posted,,,11633,0,720,0,166.185,0.0
keyboard,,,11627,0,720,0,166.1,0.0
sec,,,11604,0,719,0,165.771,0.0
book,,,11596,0,718,0,165.657,0.0
nahn,,,11591,0,715,0,165.585,0.0
smth,,,11589,0,723,0,165.557,0.0
hasn,,,11589,0,725,0,165.557,0.0
lounge,,,11582,0,442,0,165.457,0.0
attack,,,11571,0,723,0,165.3,0.0
rly,,,11545,0,717,0,164.928,0.0
shy,,,11536,0,722,0,164.8,0.0
joining,,,11533,0,720,0,164.757,0.0
touch,,,11499,0,723,0,164.271,0.0
bully,,,11478,0,720,0,163.971,0.0
alln,,,11477,0,717,0,163.957,0.0
loved,,,11444,0,724,0,163.485,0.0
peoplen,,,11438,0,721,0,163.4,0.0
uhn,,,11436,0,715,0,163.371,0.0
bang,,,11424,0,695,0,163.2,0.0
added,,,11417,0,722,0,163.1,0.0
match,,,11416,0,713,0,163.085,0.0
tree,,,11406,0,716,0,162.942,0.0
drawing,,,11386,0,722,0,162.657,0.0
drinking,,,11374,0,717,0,162.485,0.0
cam,,,11372,0,667,0,162.457,0.0
cloudy,,,11328,0,356,0,161.828,0.0
system,,,11327,0,715,0,161.814,0.0
especially,,,11316,0,723,0,161.657,0.0
crow,,,11289,0,298,0,161.271,0.0
computer,,,11278,0,719,0,161.114,0.0
la,,,11266,0,705,0,160.942,0.0
flex,,,11245,0,712,0,160.642,0.0
starting,,,11244,0,723,0,160.628,0.0
homework,,,11243,0,723,0,160.614,0.0
ugly,,,11225,0,719,0,160.357,0.0
vcn,,,11222,0,711,0,160.314,0.0
yeh,,,11210,0,708,0,160.142,0.0
ello,,,11206,0,701,0,160.085,0.0
version,,,11184,0,719,0,159.771,0.0
ash,,,11173,0,661,0,159.614,0.0
japan,,,11142,0,710,0,159.171,0.0
offline,,,11137,0,714,0,159.099,0.0
links,,,11115,0,715,0,158.785,0.0
heh,,,11095,0,710,0,158.499,0.0
tickets,,,11093,0,510,0,158.471,0.0
prob,,,11092,0,724,0,158.457,0.0
kpop,,,11090,0,706,0,158.428,0.0
none,,,11084,0,722,0,158.342,0.0
needed,,,11077,0,727,0,158.242,0.0
couldnt,,,11068,0,724,0,158.114,0.0
dreams,,,11066,0,714,0,158.085,0.0
screen,,,11063,0,721,0,158.042,0.0
girlfriend,,,11052,0,723,0,157.885,0.0
ms,,,11047,0,716,0,157.814,0.0
drama,,,11025,0,722,0,157.499,0.0
thinks,,,11017,0,722,0,157.385,0.0
nwhat,,,11011,0,721,0,157.299,0.0
sick,,,11009,0,721,0,157.271,0.0
selfies,,,11003,0,661,0,157.185,0.0
calls,,,11001,0,724,0,157.157,0.0
proud,,,11001,0,722,0,157.157,0.0
cookies,,,10993,0,707,0,157.042,0.0
dinner,,,10991,0,718,0,157.014,0.0
dare,,,10958,0,718,0,156.542,0.0
wall,,,10926,0,721,0,156.085,0.0
behind,,,10909,0,723,0,155.842,0.0
barely,,,10897,0,725,0,155.671,0.0
series,,,10895,0,709,0,155.642,0.0
rose,,,10888,0,679,0,155.542,0.0
nap,,,10880,0,718,0,155.428,0.0
welc,,,10878,0,476,0,155.399,0.0
shoot,,,10873,0,712,0,155.328,0.0
warning,,,10872,0,718,0,155.314,0.0
twice,,,10864,0,721,0,155.199,0.0
stand,,,10837,0,721,0,154.814,0.0
lurking,,,10833,0,710,0,154.756,0.0
everyday,,,10820,0,720,0,154.571,0.0
honey,,,10820,0,703,0,154.571,0.0
heck,,,10804,0,706,0,154.342,0.0
atleast,,,10802,0,726,0,154.314,0.0
le,,,10799,0,712,0,154.271,0.0
snow,,,10791,0,691,0,154.156,0.0
gm,,,10781,0,710,0,154.014,0.0
sit,,,10771,0,718,0,153.871,0.0
lives,,,10747,0,722,0,153.528,0.0
sadn,,,10722,0,720,0,153.171,0.0
keeps,,,10716,0,726,0,153.085,0.0
pictures,,,10705,0,722,0,152.928,0.0
summer,,,10702,0,711,0,152.885,0.0
axel,,,10700,0,131,0,152.856,0.0
stfu,,,10686,0,685,0,152.656,0.0
sorryn,,,10676,0,717,0,152.514,0.0
episode,,,10652,0,719,0,152.171,0.0
react,,,10647,0,714,0,152.099,0.0
lin,,,10647,0,295,0,152.099,0.0
realized,,,10641,0,723,0,152.014,0.0
yk,,,10618,0,664,0,151.685,0.0
egirl,,,10608,0,661,0,151.542,0.0
lots,,,10598,0,718,0,151.399,0.0
questions,,,10596,0,720,0,151.371,0.0
uwun,,,10578,0,682,0,151.114,0.0
notice,,,10576,0,722,0,151.085,0.0
fat,,,10576,0,719,0,151.085,0.0
oops,,,10574,0,719,0,151.056,0.0
san,,,10571,0,692,0,151.014,0.0
height,,,10553,0,713,0,150.756,0.0
breadn,,,10545,0,515,0,150.642,0.0
todayn,,,10517,0,719,0,150.242,0.0
illegal,,,10513,0,720,0,150.185,0.0
spend,,,10504,0,722,0,150.056,0.0
rain,,,10492,0,709,0,149.885,0.0
drugs,,,10485,0,717,0,149.785,0.0
conversation,,,10476,0,722,0,149.656,0.0
zelda,,,10475,0,435,0,149.642,0.0
community,,,10467,0,713,0,149.528,0.0
fam,,,10467,0,710,0,149.528,0.0
nitron,,,10466,0,693,0,149.514,0.0
noice,,,10465,0,704,0,149.499,0.0
nno,,,10433,0,719,0,149.042,0.0
nim,,,10409,0,723,0,148.699,0.0
hmmmn,,,10409,0,713,0,148.699,0.0
levels,,,10404,0,722,0,148.628,0.0
dam,,,10404,0,713,0,148.628,0.0
mf,,,10403,0,674,0,148.614,0.0
pie,,,10392,0,675,0,148.456,0.0
simps,,,10376,0,563,0,148.228,0.0
lazy,,,10366,0,721,0,148.085,0.0
meat,,,10356,0,714,0,147.942,0.0
animal,,,10351,0,718,0,147.871,0.0
bullying,,,10336,0,716,0,147.656,0.0
butn,,,10332,0,716,0,147.599,0.0
piece,,,10329,0,722,0,147.556,0.0
grab,,,10305,0,709,0,147.213,0.0
colour,,,10299,0,718,0,147.128,0.0
ran,,,10270,0,719,0,146.713,0.0
kitty,,,10240,0,688,0,146.285,0.0
lick,,,10238,0,660,0,146.256,0.0
nand,,,10215,0,721,0,145.928,0.0
partner,,,10198,0,713,0,145.685,0.0
yesss,,,10166,0,716,0,145.228,0.0
door,,,10155,0,718,0,145.071,0.0
sauce,,,10127,0,712,0,144.671,0.0
rap,,,10092,0,711,0,144.171,0.0
force,,,10055,0,723,0,143.642,0.0
matching,,,10046,0,656,0,143.513,0.0
state,,,10034,0,722,0,143.342,0.0
certain,,,10033,0,721,0,143.328,0.0
wth,,,10027,0,716,0,143.242,0.0
mm,,,10012,0,722,0,143.028,0.0
shot,,,10005,0,720,0,142.928,0.0
starts,,,10005,0,719,0,142.928,0.0
near,,,10000,0,720,0,142.856,0.0
noticed,,,9994,0,721,0,142.771,0.0
awww,,,9993,0,700,0,142.756,0.0
huhn,,,9980,0,713,0,142.571,0.0
devil,,,9980,0,705,0,142.571,0.0
orange,,,9975,0,718,0,142.499,0.0
baka,,,9967,0,631,0,142.385,0.0
mayo,,,9944,0,548,0,142.056,0.0
salt,,,9942,0,687,0,142.028,0.0
banana,,,9938,0,705,0,141.971,0.0
newport,,,9938,0,74,0,141.971,0.0
amount,,,9935,0,725,0,141.928,0.0
mocha,,,9929,0,315,0,141.842,0.0
jump,,,9921,0,717,0,141.728,0.0
request,,,9916,0,722,0,141.656,0.0
sis,,,9915,0,714,0,141.642,0.0
edgy,,,9883,0,700,0,141.185,0.0
hella,,,9852,0,719,0,140.742,0.0
rightn,,,9848,0,716,0,140.685,0.0
fighting,,,9840,0,725,0,140.571,0.0
sadly,,,9835,0,722,0,140.499,0.0
reach,,,9818,0,718,0,140.256,0.0
learning,,,9817,0,720,0,140.242,0.0
strong,,,9796,0,721,0,139.942,0.0
dennis,,,9791,0,113,0,139.871,0.0
warm,,,9790,0,717,0,139.856,0.0
videos,,,9783,0,714,0,139.756,0.0
truth,,,9772,0,719,0,139.599,0.0
often,,,9752,0,722,0,139.313,0.0
shit,,,9750,0,643,0,139.285,0.0
wholesome,,,9749,0,696,0,139.27,0.0
city,,,9733,0,720,0,139.042,0.0
extra,,,9725,0,726,0,138.928,0.0
candy,,,9722,0,716,0,138.885,0.0
yen,,,9706,0,707,0,138.656,0.0
twig,,,9706,0,220,0,138.656,0.0
download,,,9701,0,710,0,138.585,0.0
gold,,,9684,0,710,0,138.342,0.0
dis,,,9679,0,717,0,138.27,0.0
levi,,,9677,0,559,0,138.242,0.0
damnn,,,9671,0,713,0,138.156,0.0
pull,,,9653,0,724,0,137.899,0.0
characters,,,9618,0,712,0,137.399,0.0
private,,,9612,0,723,0,137.313,0.0
nyou,,,9606,0,720,0,137.228,0.0
netflix,,,9606,0,715,0,137.228,0.0
youll,,,9606,0,717,0,137.228,0.0
facts,,,9602,0,714,0,137.17,0.0
legs,,,9601,0,718,0,137.156,0.0
whois,,,9592,0,514,0,137.028,0.0
double,,,9578,0,715,0,136.828,0.0
kicked,,,9574,0,723,0,136.77,0.0
bn,,,9571,0,717,0,136.728,0.0
legal,,,9565,0,703,0,136.642,0.0
asf,,,9549,0,701,0,136.413,0.0
yellow,,,9537,0,713,0,136.242,0.0
wa,,,9528,0,715,0,136.113,0.0
daniel,,,9491,0,453,0,135.585,0.0
problems,,,9485,0,724,0,135.499,0.0
foot,,,9484,0,713,0,135.485,0.0
omgn,,,9482,0,715,0,135.456,0.0
quiet,,,9462,0,722,0,135.17,0.0
yuh,,,9459,0,708,0,135.128,0.0
drive,,,9446,0,713,0,134.942,0.0
uni,,,9441,0,689,0,134.87,0.0
hw,,,9441,0,699,0,134.87,0.0
cus,,,9433,0,688,0,134.756,0.0
peeps,,,9427,0,708,0,134.67,0.0
rd,,,9426,0,723,0,134.656,0.0
movies,,,9423,0,718,0,134.613,0.0
yh,,,9412,0,674,0,134.456,0.0
ez,,,9409,0,714,0,134.413,0.0
channels,,,9402,0,709,0,134.313,0.0
sakura,,,9389,0,547,0,134.128,0.0
covid,,,9388,0,550,0,134.113,0.0
yuna,,,9384,0,159,0,134.056,0.0
stick,,,9379,0,722,0,133.985,0.0
oooh,,,9373,0,710,0,133.899,0.0
decent,,,9360,0,717,0,133.713,0.0
rychu,,,9359,0,58,0,133.699,0.0
dan,,,9348,0,645,0,133.542,0.0
finen,,,9330,0,717,0,133.285,0.0
lying,,,9328,0,720,0,133.256,0.0
yuri,,,9322,0,607,0,133.17,0.0
due,,,9320,0,727,0,133.142,0.0
nit,,,9315,0,722,0,133.07,0.0
sub,,,9314,0,706,0,133.056,0.0
wb,,,9305,0,702,0,132.928,0.0
toast,,,9278,0,670,0,132.542,0.0
shows,,,9277,0,722,0,132.528,0.0
nudes,,,9268,0,580,0,132.399,0.0
higher,,,9256,0,719,0,132.228,0.0
van,,,9243,0,677,0,132.042,0.0
lifen,,,9231,0,712,0,131.87,0.0
based,,,9223,0,718,0,131.756,0.0
energy,,,9202,0,722,0,131.456,0.0
sitting,,,9202,0,722,0,131.456,0.0
kept,,,9198,0,724,0,131.399,0.0
technically,,,9193,0,713,0,131.328,0.0
killing,,,9190,0,723,0,131.285,0.0
somewhere,,,9182,0,727,0,131.17,0.0
genshin,,,9178,0,345,0,131.113,0.0
smoke,,,9176,0,705,0,131.085,0.0
reply,,,9173,0,726,0,131.042,0.0
expect,,,9160,0,715,0,130.856,0.0
ramen,,,9159,0,691,0,130.842,0.0
aaa,,,9149,0,721,0,130.699,0.0
cult,,,9143,0,689,0,130.613,0.0
experience,,,9113,0,721,0,130.185,0.0
yean,,,9112,0,710,0,130.17,0.0
ara,,,9095,0,541,0,129.928,0.0
everyonen,,,9074,0,712,0,129.628,0.0
hern,,,9071,0,709,0,129.585,0.0
ali,,,9056,0,500,0,129.37,0.0
radical,,,9054,0,246,0,129.342,0.0
paper,,,9048,0,719,0,129.256,0.0
yt,,,9047,0,721,0,129.242,0.0
bypass,,,9042,0,598,0,129.17,0.0
homies,,,9009,0,672,0,128.699,0.0
korean,,,9006,0,707,0,128.656,0.0
heyy,,,8999,0,708,0,128.556,0.0
justice,,,8999,0,585,0,128.556,0.0
dumb,,,8988,0,721,0,128.399,0.0
ignored,,,8983,0,717,0,128.327,0.0
form,,,8980,0,718,0,128.285,0.0
soup,,,8975,0,699,0,128.213,0.0
suren,,,8969,0,713,0,128.127,0.0
moving,,,8965,0,723,0,128.07,0.0
jo,,,8964,0,677,0,128.056,0.0
noo,,,8956,0,715,0,127.942,0.0
missing,,,8947,0,720,0,127.813,0.0
favourite,,,8942,0,715,0,127.742,0.0
younger,,,8935,0,720,0,127.642,0.0
bettern,,,8922,0,716,0,127.456,0.0
wh,,,8906,0,710,0,127.227,0.0
buddy,,,8900,0,712,0,127.142,0.0
hype,,,8893,0,688,0,127.042,0.0
popular,,,8869,0,724,0,126.699,0.0
dez,,,8868,0,84,0,126.685,0.0
warnings,,,8862,0,582,0,126.599,0.0
continue,,,8858,0,724,0,126.542,0.0
caps,,,8852,0,708,0,126.456,0.0
plan,,,8850,0,719,0,126.427,0.0
vs,,,8831,0,715,0,126.156,0.0
humans,,,8829,0,714,0,126.127,0.0
advertising,,,8821,0,685,0,126.013,0.0
henlo,,,8817,0,660,0,125.956,0.0
honest,,,8815,0,722,0,125.927,0.0
mommy,,,8813,0,706,0,125.899,0.0
per,,,8809,0,718,0,125.842,0.0
changing,,,8779,0,723,0,125.413,0.0
gen,,,8761,0,689,0,125.156,0.0
feelings,,,8755,0,721,0,125.07,0.0
miso,,,8750,0,177,0,124.999,0.0
tiktok,,,8746,0,672,0,124.942,0.0
difference,,,8737,0,718,0,124.813,0.0
breakfast,,,8715,0,708,0,124.499,0.0
images,,,8699,0,708,0,124.27,0.0
lemon,,,8697,0,672,0,124.242,0.0
velvet,,,8696,0,320,0,124.227,0.0
everytime,,,8695,0,723,0,124.213,0.0
canada,,,8691,0,698,0,124.156,0.0
thicc,,,8691,0,699,0,124.156,0.0
op,,,8688,0,712,0,124.113,0.0
speed,,,8688,0,721,0,124.113,0.0
realize,,,8685,0,721,0,124.07,0.0
smell,,,8657,0,715,0,123.67,0.0
personal,,,8657,0,719,0,123.67,0.0
atm,,,8649,0,716,0,123.556,0.0
breaking,,,8636,0,716,0,123.37,0.0
uses,,,8623,0,718,0,123.185,0.0
hero,,,8619,0,706,0,123.127,0.0
hola,,,8610,0,707,0,122.999,0.0
shiro,,,8605,0,379,0,122.927,0.0
animen,,,8600,0,691,0,122.856,0.0
gotten,,,8598,0,716,0,122.827,0.0
plsn,,,8583,0,710,0,122.613,0.0
grow,,,8580,0,721,0,122.57,0.0
caught,,,8579,0,724,0,122.556,0.0
peace,,,8575,0,716,0,122.499,0.0
prolly,,,8566,0,710,0,122.37,0.0
mark,,,8566,0,710,0,122.37,0.0
finna,,,8556,0,695,0,122.227,0.0
nwelcome,,,8553,0,580,0,122.185,0.0
goin,,,8550,0,720,0,122.142,0.0
huge,,,8547,0,714,0,122.099,0.0
recently,,,8539,0,716,0,121.985,0.0
feed,,,8532,0,713,0,121.885,0.0
welcomeee,,,8532,0,520,0,121.885,0.0
original,,,8526,0,719,0,121.799,0.0
workn,,,8524,0,716,0,121.77,0.0
news,,,8518,0,715,0,121.685,0.0
fishy,,,8516,0,448,0,121.656,0.0
wifi,,,8506,0,712,0,121.513,0.0
panda,,,8501,0,650,0,121.442,0.0
wel,,,8500,0,640,0,121.427,0.0
secret,,,8499,0,719,0,121.413,0.0
nya,,,8498,0,599,0,121.399,0.0
pro,,,8482,0,717,0,121.17,0.0
update,,,8482,0,706,0,121.17,0.0
weed,,,8475,0,695,0,121.07,0.0
angry,,,8472,0,721,0,121.027,0.0
muchn,,,8471,0,711,0,121.013,0.0
public,,,8469,0,719,0,120.985,0.0
writing,,,8463,0,723,0,120.899,0.0
mac,,,8456,0,703,0,120.799,0.0
access,,,8441,0,702,0,120.585,0.0
goodbye,,,8426,0,720,0,120.37,0.0
ram,,,8422,0,657,0,120.313,0.0
jus,,,8420,0,696,0,120.285,0.0
lowkey,,,8419,0,711,0,120.27,0.0
truen,,,8388,0,708,0,119.827,0.0
pfps,,,8381,0,712,0,119.727,0.0
mai,,,8381,0,540,0,119.727,0.0
og,,,8378,0,708,0,119.685,0.0
rob,,,8368,0,676,0,119.542,0.0
doctor,,,8359,0,715,0,119.413,0.0
store,,,8349,0,714,0,119.27,0.0
interested,,,8341,0,715,0,119.156,0.0
es,,,8337,0,706,0,119.099,0.0
thingn,,,8324,0,712,0,118.913,0.0
maki,,,8321,0,337,0,118.87,0.0
steam,,,8320,0,687,0,118.856,0.0
spent,,,8319,0,720,0,118.842,0.0
welcomee,,,8309,0,505,0,118.699,0.0
assume,,,8308,0,714,0,118.685,0.0
lunch,,,8293,0,718,0,118.47,0.0
removed,,,8284,0,716,0,118.342,0.0
average,,,8277,0,715,0,118.242,0.0
urself,,,8260,0,714,0,117.999,0.0
rate,,,8260,0,715,0,117.999,0.0
oni,,,8260,0,694,0,117.999,0.0
ss,,,8259,0,717,0,117.985,0.0
gae,,,8255,0,657,0,117.927,0.0
heyyy,,,8254,0,714,0,117.913,0.0
doubt,,,8246,0,715,0,117.799,0.0
pats,,,8243,0,606,0,117.756,0.0
fault,,,8239,0,719,0,117.699,0.0
weak,,,8239,0,716,0,117.699,0.0
byen,,,8238,0,714,0,117.685,0.0
lilly,,,8235,0,213,0,117.642,0.0
pedo,,,8233,0,589,0,117.613,0.0
recommend,,,8232,0,712,0,117.599,0.0
dev,,,8232,0,566,0,117.599,0.0
paid,,,8227,0,712,0,117.527,0.0
aki,,,8218,0,340,0,117.399,0.0
smash,,,8212,0,693,0,117.313,0.0
shouldnt,,,8208,0,720,0,117.256,0.0
deserve,,,8191,0,719,0,117.013,0.0
coz,,,8186,0,663,0,116.942,0.0
shush,,,8184,0,710,0,116.913,0.0
deadn,,,8170,0,712,0,116.713,0.0
hopefully,,,8168,0,715,0,116.685,0.0
simple,,,8152,0,719,0,116.456,0.0
weebs,,,8149,0,664,0,116.413,0.0
abuse,,,8129,0,713,0,116.127,0.0
meaning,,,8127,0,714,0,116.099,0.0
noob,,,8123,0,694,0,116.042,0.0
decided,,,8114,0,723,0,115.913,0.0
acting,,,8114,0,721,0,115.913,0.0
auto,,,8106,0,717,0,115.799,0.0
bri,,,8093,0,540,0,115.613,0.0
somethingn,,,8089,0,711,0,115.556,0.0
boyfriend,,,8085,0,719,0,115.499,0.0
became,,,8080,0,721,0,115.427,0.0
ended,,,8062,0,724,0,115.17,0.0
mention,,,8055,0,723,0,115.07,0.0
breathtaking,,,8050,0,169,0,114.999,0.0
bullied,,,8048,0,721,0,114.97,0.0
chatting,,,8046,0,706,0,114.942,0.0
sign,,,8042,0,719,0,114.884,0.0
wearing,,,8039,0,713,0,114.842,0.0
failed,,,8031,0,721,0,114.727,0.0
front,,,8031,0,722,0,114.727,0.0
sage,,,8019,0,372,0,114.556,0.0
science,,,7999,0,720,0,114.27,0.0
shhh,,,7994,0,709,0,114.199,0.0
heaven,,,7993,0,705,0,114.184,0.0
cursed,,,7991,0,702,0,114.156,0.0
burn,,,7989,0,719,0,114.127,0.0
cyanide,,,7985,0,187,0,114.07,0.0
fellow,,,7985,0,710,0,114.07,0.0
biggest,,,7980,0,720,0,113.999,0.0
revive,,,7978,0,687,0,113.97,0.0
josh,,,7972,0,491,0,113.884,0.0
socks,,,7968,0,683,0,113.827,0.0
vid,,,7961,0,712,0,113.727,0.0
schooln,,,7952,0,700,0,113.599,0.0
buying,,,7950,0,707,0,113.57,0.0
virus,,,7940,0,683,0,113.427,0.0
metal,,,7938,0,700,0,113.399,0.0
neither,,,7938,0,716,0,113.399,0.0
size,,,7937,0,706,0,113.384,0.0
prove,,,7935,0,705,0,113.356,0.0
cereal,,,7932,0,691,0,113.313,0.0
drout,,,7916,0,97,0,113.084,0.0
choice,,,7915,0,721,0,113.07,0.0
haru,,,7913,0,341,0,113.042,0.0
boomer,,,7907,0,610,0,112.956,0.0
given,,,7904,0,723,0,112.913,0.0
bunch,,,7902,0,714,0,112.884,0.0
thanksn,,,7892,0,712,0,112.742,0.0
bigger,,,7883,0,717,0,112.613,0.0
inn,,,7870,0,715,0,112.427,0.0
multiple,,,7865,0,719,0,112.356,0.0
box,,,7847,0,719,0,112.099,0.0
issues,,,7844,0,718,0,112.056,0.0
mimi,,,7839,0,330,0,111.984,0.0
deku,,,7830,0,541,0,111.856,0.0
maid,,,7820,0,642,0,111.713,0.0
faster,,,7811,0,722,0,111.584,0.0
dani,,,7810,0,267,0,111.57,0.0
purple,,,7808,0,711,0,111.542,0.0
mi,,,7804,0,701,0,111.484,0.0
hrs,,,7803,0,715,0,111.47,0.0
brown,,,7794,0,699,0,111.342,0.0
duden,,,7793,0,705,0,111.327,0.0
beans,,,7792,0,680,0,111.313,0.0
common,,,7790,0,718,0,111.284,0.0
dollars,,,7775,0,723,0,111.07,0.0
thigh,,,7774,0,618,0,111.056,0.0
hotn,,,7773,0,704,0,111.042,0.0
along,,,7766,0,723,0,110.942,0.0
nhow,,,7760,0,713,0,110.856,0.0
bee,,,7754,0,693,0,110.77,0.0
exam,,,7752,0,707,0,110.742,0.0
whoever,,,7749,0,715,0,110.699,0.0
trouble,,,7742,0,720,0,110.599,0.0
funn,,,7742,0,702,0,110.599,0.0
appreciate,,,7734,0,715,0,110.484,0.0
yess,,,7732,0,712,0,110.456,0.0
fit,,,7728,0,715,0,110.399,0.0
reminds,,,7728,0,720,0,110.399,0.0
premium,,,7724,0,706,0,110.342,0.0
seo,,,7719,0,54,0,110.27,0.0
blind,,,7719,0,717,0,110.27,0.0
yr,,,7717,0,715,0,110.242,0.0
tbhn,,,7711,0,693,0,110.156,0.0
colors,,,7708,0,711,0,110.113,0.0
friendsn,,,7707,0,702,0,110.099,0.0
control,,,7704,0,717,0,110.056,0.0
smile,,,7702,0,708,0,110.027,0.0
wild,,,7700,0,705,0,109.999,0.0
note,,,7700,0,720,0,109.999,0.0
build,,,7692,0,718,0,109.884,0.0
ayy,,,7685,0,694,0,109.784,0.0
accidentally,,,7684,0,717,0,109.77,0.0
corpse,,,7679,0,572,0,109.699,0.0
advice,,,7671,0,716,0,109.584,0.0
luv,,,7665,0,694,0,109.499,0.0
kat,,,7665,0,559,0,109.499,0.0
roll,,,7656,0,712,0,109.37,0.0
kay,,,7653,0,617,0,109.327,0.0
stab,,,7651,0,657,0,109.299,0.0
cards,,,7649,0,684,0,109.27,0.0
player,,,7649,0,711,0,109.27,0.0
helpn,,,7643,0,711,0,109.184,0.0
etc,,,7640,0,711,0,109.142,0.0
mika,,,7637,0,295,0,109.099,0.0
yee,,,7633,0,704,0,109.042,0.0
dino,,,7628,0,584,0,108.97,0.0
jen,,,7618,0,310,0,108.827,0.0
thinkn,,,7613,0,717,0,108.756,0.0
mrs,,,7611,0,495,0,108.727,0.0
windows,,,7611,0,674,0,108.727,0.0
fuck,,,7608,0,586,0,108.684,0.0
accent,,,7601,0,702,0,108.584,0.0
mans,,,7601,0,705,0,108.584,0.0
kith,,,7593,0,392,0,108.47,0.0
loud,,,7590,0,723,0,108.427,0.0
dropped,,,7589,0,717,0,108.413,0.0
yesh,,,7589,0,647,0,108.413,0.0
laughing,,,7588,0,718,0,108.399,0.0
jam,,,7587,0,633,0,108.384,0.0
racist,,,7585,0,707,0,108.356,0.0
el,,,7585,0,700,0,108.356,0.0
pleasen,,,7582,0,714,0,108.313,0.0
china,,,7569,0,687,0,108.127,0.0
theme,,,7565,0,708,0,108.07,0.0
worked,,,7563,0,716,0,108.042,0.0
pee,,,7554,0,696,0,107.913,0.0
ace,,,7553,0,621,0,107.899,0.0
police,,,7548,0,707,0,107.827,0.0
cheating,,,7548,0,706,0,107.827,0.0
ad,,,7547,0,712,0,107.813,0.0
wo,,,7546,0,714,0,107.799,0.0
dies,,,7543,0,719,0,107.756,0.0
moved,,,7542,0,715,0,107.742,0.0
lmfaon,,,7541,0,694,0,107.727,0.0
que,,,7538,0,703,0,107.684,0.0
hewo,,,7535,0,643,0,107.642,0.0
goku,,,7533,0,606,0,107.613,0.0
cousin,,,7531,0,715,0,107.584,0.0
satan,,,7521,0,646,0,107.442,0.0
warns,,,7520,0,545,0,107.427,0.0
mk,,,7500,0,664,0,107.142,0.0
uncle,,,7495,0,706,0,107.07,0.0
eggs,,,7490,0,699,0,106.999,0.0
yeeter,,,7486,0,98,0,106.942,0.0
gifs,,,7484,0,711,0,106.913,0.0
treat,,,7480,0,703,0,106.856,0.0
friendly,,,7475,0,710,0,106.784,0.0
al,,,7474,0,696,0,106.77,0.0
figure,,,7473,0,716,0,106.756,0.0
nose,,,7469,0,715,0,106.699,0.0
